code2011,area
http://linked.data.gov.au/dataset/asgs2011/meshblock/80000690000,51902.478164422173
http://linked.data.gov.au/dataset/asgs2011/meshblock/80000700000,74626.238707915458
http://linked.data.gov.au/dataset/asgs2011/meshblock/80000720000,68712.659617133788
http://linked.data.gov.au/dataset/asgs2011/meshblock/80000730000,135015.17178140592
http://linked.data.gov.au/dataset/asgs2011/meshblock/80000740000,101210.59129649981
http://linked.data.gov.au/dataset/asgs2011/meshblock/80000750000,53080.760220080054
http://linked.data.gov.au/dataset/asgs2011/meshblock/80000760000,113431.43472226191
http://linked.data.gov.au/dataset/asgs2011/meshblock/80000770000,79540.672226085298
http://linked.data.gov.au/dataset/asgs2011/meshblock/80000780000,97163.207858193287
http://linked.data.gov.au/dataset/asgs2011/meshblock/80000790000,92345.220332757905
http://linked.data.gov.au/dataset/asgs2011/meshblock/80000800000,80965.202103291682
http://linked.data.gov.au/dataset/asgs2011/meshblock/80000810000,106105.92190748751
http://linked.data.gov.au/dataset/asgs2011/meshblock/80000820000,43560.265836011917
http://linked.data.gov.au/dataset/asgs2011/meshblock/80000840000,199898.7283884784
http://linked.data.gov.au/dataset/asgs2011/meshblock/80000850000,45375.283308203499
http://linked.data.gov.au/dataset/asgs2011/meshblock/80000860000,43246.154221154684
http://linked.data.gov.au/dataset/asgs2011/meshblock/80000870000,47027.18202048447
http://linked.data.gov.au/dataset/asgs2011/meshblock/80000880000,41422.042197902701
http://linked.data.gov.au/dataset/asgs2011/meshblock/80000890000,33173.32626654816
http://linked.data.gov.au/dataset/asgs2011/meshblock/80000900000,32529.67763961908
http://linked.data.gov.au/dataset/asgs2011/meshblock/80000910000,39519.290123591185
http://linked.data.gov.au/dataset/asgs2011/meshblock/80000920000,49907.284292867298
http://linked.data.gov.au/dataset/asgs2011/meshblock/80000930000,57040.276342171077
http://linked.data.gov.au/dataset/asgs2011/meshblock/80000940000,30175.923037504097
http://linked.data.gov.au/dataset/asgs2011/meshblock/80000950000,46723.455813188717
http://linked.data.gov.au/dataset/asgs2011/meshblock/80000960000,28945.740703678981
http://linked.data.gov.au/dataset/asgs2011/meshblock/80000970000,40789.588638752852
http://linked.data.gov.au/dataset/asgs2011/meshblock/80000980000,59411.615328656895
http://linked.data.gov.au/dataset/asgs2011/meshblock/80000990000,54540.877463169403
http://linked.data.gov.au/dataset/asgs2011/meshblock/80001000000,25079.425468155136
http://linked.data.gov.au/dataset/asgs2011/meshblock/80001020000,13107.618282147881
http://linked.data.gov.au/dataset/asgs2011/meshblock/80001030000,48181.993147429996
http://linked.data.gov.au/dataset/asgs2011/meshblock/80001040000,33472.657074929324
http://linked.data.gov.au/dataset/asgs2011/meshblock/80001050000,25453.436414345324
http://linked.data.gov.au/dataset/asgs2011/meshblock/80001060000,43114.915774434237
http://linked.data.gov.au/dataset/asgs2011/meshblock/80001070000,25562.131570539528
http://linked.data.gov.au/dataset/asgs2011/meshblock/80001080000,58812.229315185548
http://linked.data.gov.au/dataset/asgs2011/meshblock/80001090000,59678.937888426794
http://linked.data.gov.au/dataset/asgs2011/meshblock/80001100000,50867.274992868886
http://linked.data.gov.au/dataset/asgs2011/meshblock/80001110000,15501.02785636469
http://linked.data.gov.au/dataset/asgs2011/meshblock/80001121000,33515.095786092526
http://linked.data.gov.au/dataset/asgs2011/meshblock/80001122000,15433.648218334431
http://linked.data.gov.au/dataset/asgs2011/meshblock/80001130000,67573.527427242094
http://linked.data.gov.au/dataset/asgs2011/meshblock/80001140000,17080.623207019569
http://linked.data.gov.au/dataset/asgs2011/meshblock/80001150000,23971.663364447868
http://linked.data.gov.au/dataset/asgs2011/meshblock/80001160000,46670.546219244294
http://linked.data.gov.au/dataset/asgs2011/meshblock/80001170000,5211.332700994868
